Points,Username,Comment
64.75,vasilevhr,
0,VasilPavlov,Solution file not found!
0,vasilpetrov,Solution file not found!
75.5,vasko1926,
90.5,vassildinev,
14.75,venelingp,
0,verfish,Solution file not found!
0,veselinbelchev,Solution file not found!
88,veselints,
100,vesheff,
75.5,vicho86,
0,viksgeorgiev,Solution file not found!
14.1,viktorDimitrov,
41.9,vladi.p.vladev,
88,vladko_sz,
94.75,vlad_sp,
0,vmrivanov,Solution file not found!
0,vreskoff,Solution file not found!
0,vutov87,Solution file not found!
86.75,vvn050,
86.1,vyarah,
4.75,V_Gogoshev,
92,WaNKeR,
100,webdude,
10,westelf,
100,wnvko,
77.5,Wolf.Eye,
14.5,wooden.jesus,
0,xxplwhxx,Solution file not found!
100,y.maltsev,
0,YaneYo,Solution file not found!
85,ykomitov,
49.5,yordan.gergov91,
0,yordansg,Solution file not found!
0,zarko91,Solution file not found!
82.5,zdzdz,
72.5,ze3rax,
0,Zenix,Solution file not found!
93,zhenia.racheva,
32.35,zlatka.todorova,
86.5,zvet80,
0,ZvezdelinN,
